,question_id,num_tokens
0,0,3191
1,1,3191
2,2,3189
3,3,3195
4,4,3195
5,5,3192
6,6,3200
7,7,3199
8,8,3196
9,9,3197
10,10,3201
11,11,3188
12,12,3202
13,13,3189
14,14,3211
15,15,3183
16,16,3189
17,17,3190
18,18,3195
19,19,3189
20,20,3193
21,21,3200
22,22,3186
23,23,3208
24,24,3213
25,25,3201
26,26,3202
27,27,3219
28,28,3210
29,29,3188
30,30,3192
31,31,3203
32,32,3213
33,33,3214
34,34,3197
35,35,3198
36,36,3209
37,37,3197
38,38,3198
39,39,3203
40,40,3191
41,41,3186
42,42,3190
43,43,3198
44,44,3215
45,45,3200
46,46,3192
47,47,3198
48,48,3192
49,49,3197
50,50,3196
51,51,3197
52,52,3198
53,53,3191
54,54,3195
55,55,3207
56,56,3192
57,57,3194
58,58,3200
59,59,3189
60,60,3189
61,61,3192
62,62,3213
63,63,3207
64,64,3196
65,65,3197
66,66,3203
67,67,3193
68,68,3200
69,69,3201
70,70,3189
71,71,3193
72,72,3205
73,73,3205
74,74,3201
75,75,3200
76,76,3208
77,77,3208
78,78,3189
79,79,3199
80,80,3199
81,81,3203
82,82,3186
83,83,3229
84,84,3194
85,85,3207
86,86,3209
87,87,3229
88,88,3208
89,89,1803
90,90,1799
91,91,1805
92,92,1811
93,93,1807
94,94,1817
95,95,1802
96,96,1798
97,97,1801
98,98,1815
99,99,1819
100,100,1809
101,101,1801
102,102,1811
103,103,1807
104,104,1808
105,105,1814
106,106,1810
107,107,1806
108,108,1808
109,109,1800
110,110,1810
111,111,1800
112,112,1810
113,113,1811
114,114,1805
115,115,1812
116,116,1830
117,117,1802
118,118,1810
119,119,1809
120,120,1818
121,121,1801
122,122,1798
123,123,1804
124,124,1804
125,125,1822
126,126,1807
127,127,1796
128,128,1810
129,129,1809
130,130,1804
131,131,1793
132,132,1796
133,133,1807
134,134,1808
135,135,1805
136,136,1826
137,137,1798
138,138,1812
139,139,1801
140,140,1799
141,141,1802
142,142,1797
143,143,1799
144,144,1809
145,145,1812
146,146,1801
147,147,1802
148,148,1801
149,149,1825
150,150,1806
151,151,1800
152,152,1823
153,153,1797
154,154,1799
155,155,1802
156,156,1799
157,157,1809
158,158,1805
159,159,1804
160,160,1803
161,161,1802
162,162,1801
163,163,1800
164,164,1797
165,165,1799
166,166,1798
167,167,1803
168,168,1809
169,169,1813
170,170,1798
171,171,1808
172,172,1806
173,173,1814
174,174,1796
175,175,1805
176,176,1808
177,177,1814
178,178,1798
179,179,1808
180,180,1819
181,181,1801
182,182,1815
183,183,1799
184,184,1796
185,185,1800
186,186,1799
187,187,1798
188,188,1819
189,189,1802
190,190,1803
191,191,1806
192,192,1806
193,193,1808
194,194,1806
195,195,642
196,196,649
197,197,648
198,198,645
199,199,650
200,200,646
201,201,646
202,202,642
203,203,644
204,204,650
205,205,646
206,206,648
207,207,643
208,208,647
209,209,644
210,210,643
211,211,649
212,212,648
213,213,653
214,214,647
215,215,650
216,216,643
217,217,650
218,218,647
219,219,647
220,220,652
221,221,658
222,222,653
223,223,650
224,224,653
225,225,647
226,226,647
227,227,645
228,228,654
229,229,651
230,230,649
231,231,660
232,232,655
233,233,650
234,234,648
235,235,647
236,236,654
237,237,657
238,238,643
239,239,644
240,240,649
241,241,644
242,242,654
243,243,648
244,244,645
245,245,649
246,246,648
247,247,649
248,248,649
249,249,649
250,250,649
251,251,646
252,252,650
253,253,643
254,254,648
255,255,643
256,256,646
257,257,645
258,258,645
259,259,644
260,260,651
261,261,645
262,262,648
263,263,649
264,264,648
265,265,645
266,266,650
267,267,650
268,268,648
269,269,642
270,270,651
271,271,651
272,272,650
273,273,646
274,274,645
275,275,645
276,276,651
277,277,651
278,278,649
279,279,648
280,280,655
281,281,654
282,282,652
283,283,646
284,284,651
285,285,648
286,286,653
287,287,654
288,288,649
289,289,641
290,290,646
291,291,647
292,292,655
293,293,647
294,294,646
295,295,652
296,296,661
297,297,651
298,298,648
299,299,641
300,300,640
301,301,647
302,302,650
303,303,648
304,304,643
305,305,650
306,306,647
307,307,649
308,308,646
309,309,658
310,310,656
311,311,647
312,312,649
313,313,644
314,314,644
315,315,651
316,316,652
317,317,648
318,318,649
319,319,649
320,320,659
321,321,658
322,322,653
323,323,644
324,324,643
325,325,645
326,326,646
327,327,648
328,328,648
329,329,648
330,330,648
331,331,643
332,332,652
333,333,647
334,334,655
335,335,646
336,336,649
337,337,651
338,338,648
339,339,647
340,340,5603
341,341,5604
342,342,5607
343,343,5610
344,344,5606
345,345,5617
346,346,5610
347,347,5622
348,348,5615
349,349,5613
350,350,5606
351,351,5603
352,352,5605
353,353,5610
354,354,5607
355,355,5605
356,356,5599
357,357,5604
358,358,5605
359,359,5609
360,360,5637
361,361,5606
362,362,5605
363,363,5609
364,364,5604
365,365,5604
366,366,5605
367,367,5610
368,368,5601
369,369,5607
370,370,5602
371,371,5608
372,372,5603
373,373,5602
374,374,5604
375,375,5606
376,376,5604
377,377,5612
378,378,5614
379,379,5606
380,380,5607
381,381,5605
382,382,5605
383,383,5602
384,384,5607
385,385,5603
386,386,5610
387,387,5608
388,388,5615
389,389,5615
390,390,5613
391,391,5609
392,392,5615
393,393,5607
394,394,5600
395,395,5616
396,396,5612
397,397,5625
398,398,5609
399,399,5601
400,400,5603
401,401,5612
402,402,5613
403,403,5605
404,404,5613
405,405,5604
406,406,5603
407,407,5600
408,408,5604
409,409,5619
410,410,5616
411,411,5614
412,412,5620
413,413,5611
414,414,5612
415,415,5609
416,416,5602
417,417,5602
418,418,5607
419,419,5612
420,420,5606
421,421,5610
422,422,5608
423,423,5618
424,424,5607
425,425,5615
426,426,5616
427,427,5615
428,428,5605
429,429,5605
430,430,5619
431,431,5621
432,432,5603
433,433,5617
